mes,response_code,Estatus,membership_number,Owner,qty
01/01/24 0:00,00,Aprobada,7861190,MIFEL (PROPIA),295
01/01/24 0:00,00,Aprobada,7861191,MIFEL (PROPIA),378
01/01/24 0:00,00,Aprobada,7861194,MIFEL (PROPIA),274
01/01/24 0:00,00,Aprobada,7861201,MIFEL (PROPIA),333
01/01/24 0:00,00,Aprobada,7861203,MIFEL (PROPIA),297
01/01/24 0:00,00,Aprobada,7861205,MIFEL (PROPIA),273
01/01/24 0:00,00,Aprobada,7861207,MIFEL (PROPIA),207
01/01/24 0:00,00,Aprobada,7861216,MIFEL (PROPIA),421
01/01/24 0:00,00,Aprobada,7861219,MIFEL (PROPIA),321
01/01/24 0:00,00,Aprobada,7861224,MIFEL (PROPIA),111
01/01/24 0:00,00,Aprobada,7861231,MIFEL (PROPIA),230
01/01/24 0:00,00,Aprobada,7861235,MIFEL (PROPIA),218
01/01/24 0:00,00,Aprobada,7861238,MIFEL (PROPIA),214
01/01/24 0:00,00,Aprobada,7869964,MIFEL (PROPIA),514
01/01/24 0:00,00,Aprobada,7869997,MIFEL (PROPIA),209
01/01/24 0:00,00,Aprobada,7870019,MIFEL (PROPIA),233
01/01/24 0:00,00,Aprobada,7870023,MIFEL (PROPIA),134
01/01/24 0:00,00,Aprobada,7870076,MIFEL (PROPIA),620
01/01/24 0:00,00,Aprobada,7870085,MIFEL (PROPIA),272
01/01/24 0:00,00,Aprobada,7870110,MIFEL (PROPIA),159
01/01/24 0:00,00,Aprobada,7870121,MIFEL (PROPIA),179
01/01/24 0:00,00,Aprobada,7870134,MIFEL (PROPIA),419
01/01/24 0:00,00,Aprobada,7870607,MIFEL (PROPIA),538
01/01/24 0:00,00,Aprobada,7870627,MIFEL (PROPIA),169
01/01/24 0:00,00,Aprobada,7872417,MIFEL (PROPIA),189
01/01/24 0:00,00,Aprobada,7872434,MIFEL (PROPIA),340
01/01/24 0:00,00,Aprobada,7872447,MIFEL (PROPIA),218
01/01/24 0:00,00,Aprobada,7873661,MIFEL (PROPIA),248
01/01/24 0:00,00,Aprobada,7874466,MIFEL (PROPIA),31
01/01/24 0:00,00,Aprobada,7993636,MIFEL (PROPIA),291
01/01/24 0:00,00,Aprobada,7993680,MIFEL (PROPIA),32
01/01/24 0:00,00,Aprobada,7993701,MIFEL (PROPIA),131
01/01/24 0:00,00,Aprobada,8168970,MIFEL (PROPIA),109
01/01/24 0:00,00,Aprobada,8168976,MIFEL (PROPIA),98
01/01/24 0:00,00,Aprobada,8480738574,AMEX,2379
01/01/24 0:00,00,Aprobada,8481547982,AMEX,2628
01/01/24 0:00,00,Aprobada,8865034,WELL TALK (PROPIA),16
01/01/24 0:00,00,Aprobada,8865045,WELL TALK (PROPIA),1
01/01/24 0:00,00,Aprobada,8865071,WELL TALK (PROPIA),4
01/01/24 0:00,00,Aprobada,8896497,WELL TALK (PROPIA),1
01/01/24 0:00,00,Aprobada,8994920,Afirme,19
01/01/24 0:00,00,Aprobada,9014710,GPTM (PROPIA),6298
01/01/24 0:00,00,Aprobada,9014711,GPTM (PROPIA),1620
01/01/24 0:00,00,Aprobada,9089850,BANKAOOL,2600
01/01/24 0:00,00,Aprobada,9094314,Bankaool,7055
01/01/24 0:00,00,Aprobada,9096255,BANKAOOL,1
01/01/24 0:00,00,Aprobada,9096259,Bankaool,1141
01/01/24 0:00,00,Aprobada,9105576,WELL TALK (PROPIA),132
01/01/24 0:00,00,Aprobada,9105593,WELL TALK (PROPIA),204
01/01/24 0:00,00,Aprobada,9105683,BANKAOOL,69
01/01/24 0:00,00,Aprobada,9105683,BANKAOOL,2
01/01/24 0:00,00,Aprobada,9105700,Bankaool,8
01/01/24 0:00,00,Aprobada,9109194,Bankaool,1
01/01/24 0:00,00,Aprobada,9117373,BANKAOOL,18
01/01/24 0:00,00,Aprobada,9117432,WELL TALK (PROPIA),2
01/01/24 0:00,00,Aprobada,9121041,BANKAOOL,1
01/01/24 0:00,00,Aprobada,9144321,GPTM,1117
01/01/24 0:00,00,Aprobada,9162875,BANKAOOL,133
01/01/24 0:00,00,Aprobada,9172541,WELL TALK (PROPIA),3547
01/01/24 0:00,00,Aprobada,9176890,WELL TALK (PROPIA),7
01/01/24 0:00,00,Aprobada,9178941,WELL TALK (PROPIA),1
01/01/24 0:00,00,Aprobada,9203212,Banorte,7327
01/01/24 0:00,00,Aprobada,9205591,WELL TALK (PROPIA),4
01/01/24 0:00,00,Aprobada,9211015,Bankaool,85
01/01/24 0:00,00,Aprobada,9222744,WELL TALK (PROPIA),6320
01/01/24 0:00,00,Aprobada,9222751,WELL TALK (PROPIA),6563
01/01/24 0:00,00,Aprobada,9222752,WELL TALK (PROPIA),6708
01/01/24 0:00,00,Aprobada,9222805,WELL TALK (PROPIA),6372
01/01/24 0:00,00,Aprobada,9226542,WELL TALK (PROPIA),5918
01/01/24 0:00,00,Aprobada,9242976,GPTM (PROPIA),355
01/01/24 0:00,00,Aprobada,9242977,GPTM (PROPIA),2928
01/01/24 0:00,00,Aprobada,9242978,GPTM (PROPIA),3218
01/01/24 0:00,00,Aprobada,9242979,GPTM (PROPIA),861
01/01/24 0:00,00,Aprobada,9248017,Bankaool,489
01/01/24 0:00,00,Aprobada,9255967,WELL TALK (PROPIA),3343
01/01/24 0:00,00,Aprobada,9255983,WELL TALK (PROPIA),3317
01/01/24 0:00,00,Aprobada,9255988,WELL TALK (PROPIA),3430
01/01/24 0:00,00,Aprobada,9255997,WELL TALK (PROPIA),3153
01/01/24 0:00,00,Aprobada,9256046,WELL TALK (PROPIA),3142
01/01/24 0:00,00,Aprobada,9256336,BANKAOOL,2
01/01/24 0:00,00,Aprobada,9256630,Bankaool,448
01/01/24 0:00,00,Aprobada,9257383,GPTM,2
01/01/24 0:00,00,Aprobada,9258449,GPTM (PROPIA),9
01/01/24 0:00,00,Aprobada,9259388,WELL TALK (PROPIA),6
01/01/24 0:00,00,Aprobada,9260470,BANKAOOL,4
01/01/24 0:00,00,Aprobada,9261095,Kushki,5747
01/01/24 0:00,00,Aprobada,9261095,Kushki,307
01/01/24 0:00,00,Aprobada,9261279,BANKAOOL,2
01/01/24 0:00,00,Aprobada,9261612,GPTM,63
01/01/24 0:00,00,Aprobada,9261761,GPTM,2223
01/01/24 0:00,00,Aprobada,9261764,GPTM,29
01/01/24 0:00,00,Aprobada,9261810,GPTM,2
01/01/24 0:00,00,Aprobada,9261811,GPTM,8
01/01/24 0:00,00,Aprobada,9263608,WELL TALK (PROPIA),3778
01/01/24 0:00,00,Aprobada,9263640,WELL TALK (PROPIA),3992
01/01/24 0:00,00,Aprobada,9263652,WELL TALK (PROPIA),3745
01/01/24 0:00,00,Aprobada,9263653,WELL TALK (PROPIA),3879
01/01/24 0:00,00,Aprobada,9263654,WELL TALK (PROPIA),3991
01/01/24 0:00,00,Aprobada,9264586,WELL TALK (PROPIA),2
01/01/24 0:00,00,Aprobada,9264588,WELL TALK (PROPIA),3
01/01/24 0:00,00,Aprobada,9267088,WELL TALK (PROPIA),3406
01/01/24 0:00,00,Aprobada,9267090,WELL TALK (PROPIA),3962
01/01/24 0:00,00,Aprobada,9267092,WELL TALK (PROPIA),3690
01/01/24 0:00,00,Aprobada,9267095,WELL TALK (PROPIA),3864
01/01/24 0:00,00,Aprobada,9267098,WELL TALK (PROPIA),3855
01/01/24 0:00,00,Aprobada,9267817,WELL TALK (PROPIA),7
01/01/24 0:00,00,Aprobada,9271021,BANKAOOL,2
01/01/24 0:00,00,Aprobada,9271022,BANKAOOL,2
01/01/24 0:00,00,Aprobada,9274526,WELL TALK (PROPIA),22
01/01/24 0:00,00,Aprobada,9277014,CAPADOLA (PROPIA),10
01/01/24 0:00,00,Aprobada,9277028,CAPADOLA (PROPIA),281
01/01/24 0:00,00,Aprobada,9277029,CAPADOLA (PROPIA),13
01/01/24 0:00,00,Aprobada,9277031,CAPADOLA (PROPIA),254
01/01/24 0:00,00,Aprobada,9277032,CAPADOLA (PROPIA),11
01/01/24 0:00,00,Aprobada,9277036,CAPADOLA (PROPIA),346
01/01/24 0:00,00,Aprobada,9277040,CAPADOLA (PROPIA),11
01/01/24 0:00,00,Aprobada,9277041,CAPADOLA (PROPIA),360
01/01/24 0:00,00,Aprobada,9277042,CAPADOLA (PROPIA),11
01/01/24 0:00,00,Aprobada,9277044,CAPADOLA (PROPIA),364
01/01/24 0:00,00,Aprobada,9277421,Kushki,23
01/01/24 0:00,00,Aprobada,9278505,WELL TALK (PROPIA),5
01/01/24 0:00,01,Soft Codes,7872417,MIFEL (PROPIA),2
01/01/24 0:00,01,Soft Codes,9096259,Bankaool,2
01/01/24 0:00,01,Soft Codes,9172541,WELL TALK (PROPIA),2
01/01/24 0:00,01,Soft Codes,9248017,Bankaool,1
01/01/24 0:00,01,Soft Codes,9261095,Kushki,1
01/01/24 0:00,01,Soft Codes,9261095,Kushki,1
01/01/24 0:00,01,Soft Codes,9261761,GPTM,4
01/01/24 0:00,01,Soft Codes,9263653,WELL TALK (PROPIA),1
01/01/24 0:00,01,Soft Codes,9267095,WELL TALK (PROPIA),1
01/01/24 0:00,01,Soft Codes,9277031,CAPADOLA (PROPIA),1
01/01/24 0:00,02,Soft Codes,9014710,GPTM (PROPIA),4
01/01/24 0:00,02,Soft Codes,9089850,BANKAOOL,4
01/01/24 0:00,02,Soft Codes,9094314,Bankaool,2
01/01/24 0:00,02,Soft Codes,9144321,GPTM,2
01/01/24 0:00,02,Soft Codes,9222744,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9222752,WELL TALK (PROPIA),3
01/01/24 0:00,02,Soft Codes,9255967,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9255997,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9261095,Kushki,1
01/01/24 0:00,02,Soft Codes,9263608,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9263640,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9263652,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9263654,WELL TALK (PROPIA),1
01/01/24 0:00,02,Soft Codes,9277031,CAPADOLA (PROPIA),1
01/01/24 0:00,02,Soft Codes,9277044,CAPADOLA (PROPIA),1
01/01/24 0:00,03,Soft Codes,111111111,N/A,4
01/01/24 0:00,03,Soft Codes,8481547982,AMEX,2
01/01/24 0:00,03,Soft Codes,9014710,GPTM (PROPIA),1
01/01/24 0:00,03,Soft Codes,9094314,Bankaool,1
01/01/24 0:00,03,Soft Codes,9096259,Bankaool,10
01/01/24 0:00,03,Soft Codes,9172541,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9222744,WELL TALK (PROPIA),2
01/01/24 0:00,03,Soft Codes,9222752,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9222805,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9226542,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9242976,GPTM (PROPIA),1
01/01/24 0:00,03,Soft Codes,9242978,GPTM (PROPIA),2
01/01/24 0:00,03,Soft Codes,9255988,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9256046,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9263652,WELL TALK (PROPIA),2
01/01/24 0:00,03,Soft Codes,9263654,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9267090,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9267092,WELL TALK (PROPIA),1
01/01/24 0:00,03,Soft Codes,9267095,WELL TALK (PROPIA),3
